70
99 112 128 135
130 111 156 133
41 34 65 60
64 271 96 311
115 385 136 405
243 279 260 300
368 283 385 302
278 277 294 295
297 358 312 378
439 68 456 83
114 55 143 82
86 56 112 80
71 111 99 137
6 284 38 310
438 188 461 209
458 232 480 251
224 246 239 263
162 329 182 343
159 385 178 405
29 384 47 402
251 401 269 421
215 36 234 56
506 231 521 252
525 233 546 251
323 284 341 304
348 357 360 372
376 360 395 377
72 34 96 58
52 58 84 82
94 34 126 60
131 34 158 59
43 112 67 138
41 284 62 310
96 284 122 310
227 21 406 56
217 73 407 109
219 125 402 155
225 175 404 211
237 229 405 262
257 278 274 299
340 285 362 303
237 324 407 342
442 15 574 45
455 68 481 87
482 66 503 84
499 65 525 83
526 71 545 86
547 70 567 85
603 9 739 30
606 53 734 80
603 100 738 134
440 113 565 152
450 168 558 206
483 232 503 250
605 153 739 188
607 206 739 242
609 258 741 290
597 328 740 362
595 398 740 427
269 401 406 422
277 357 297 377
312 357 329 376
326 358 343 374
49 383 68 403
117 284 144 309
72 385 92 403
92 381 113 408
133 383 159 407
117 325 187 345
469 277 486 296
