69
78 13 97 37
18 34 34 55
416 26 436 46
340 24 358 40
295 12 315 32
424 226 442 247
345 265 364 287
80 146 101 167
154 37 175 56
214 16 236 34
235 288 259 312
281 289 301 311
99 290 122 309
35 157 58 177
422 115 439 133
467 58 482 76
469 144 486 164
483 201 500 222
171 232 195 252
216 191 237 214
214 36 237 56
234 49 256 70
229 27 253 49
212 53 234 78
216 76 234 103
233 65 249 90
34 46 53 66
76 40 97 61
96 29 113 42
18 81 33 99
32 72 51 89
34 89 55 108
36 110 52 130
16 104 34 118
17 125 35 143
17 146 35 165
19 171 59 312
99 160 118 291
79 63 97 141
92 47 119 157
172 28 195 228
176 257 190 274
175 280 197 306
158 292 180 314
156 98 179 287
217 104 236 187
232 92 257 225
217 216 240 296
235 224 255 270
277 26 300 287
295 33 318 304
340 44 365 246
355 33 379 253
362 255 379 321
344 287 369 311
419 49 437 67
418 68 440 90
417 93 439 111
421 135 440 156
421 157 439 177
421 177 441 201
422 203 443 226
469 170 488 327
486 225 501 318
466 76 481 102
465 35 481 54
480 24 494 41
479 44 498 111
467 103 484 121
