206
319 324 339 345
319 277 341 298
400 257 427 285
131 281 155 303
546 6 567 26
50 265 70 288
83 219 105 243
262 339 285 362
469 165 496 189
528 239 558 259
561 239 584 264
589 241 616 264
236 264 262 287
168 52 188 70
98 98 114 118
681 167 707 187
530 166 557 186
655 24 675 48
34 146 50 165
193 265 214 290
189 338 213 362
330 383 354 407
427 383 447 406
428 335 450 360
524 377 544 402
617 320 637 343
638 321 662 343
667 319 690 345
277 100 295 114
160 85 176 102
118 208 138 227
14 221 35 245
416 216 437 238
409 94 435 116
4 390 27 414
461 276 487 297
457 113 485 133
486 114 511 134
619 27 653 45
588 25 620 44
43 134 344 165
73 268 96 290
168 267 187 288
181 39 261 68
105 83 300 116
575 7 603 27
608 7 636 27
561 25 586 45
682 25 710 47
712 22 747 46
731 4 758 23
751 25 770 42
762 5 786 24
779 20 804 40
796 5 820 27
813 24 839 45
823 6 854 25
858 5 884 25
891 5 920 26
919 6 949 27
948 6 984 28
1001 24 1025 47
1029 22 1059 47
441 93 465 114
400 114 419 130
421 116 451 131
469 95 494 112
497 97 527 110
530 96 554 112
559 97 584 114
591 94 619 114
618 92 645 114
643 93 675 112
682 95 709 111
714 96 736 113
738 98 767 114
770 91 794 115
798 89 825 113
514 113 537 134
540 110 567 133
574 112 594 138
603 111 629 128
632 111 659 129
665 112 691 131
693 111 721 131
725 112 752 132
754 112 783 131
903 110 933 134
939 112 962 134
964 110 993 133
993 110 1021 133
500 166 525 187
484 182 511 204
514 183 536 203
544 184 571 205
562 167 586 183
593 164 616 188
619 165 647 185
647 167 678 186
578 183 600 205
604 185 628 205
633 185 662 206
662 182 693 205
711 167 732 188
740 164 766 187
771 165 800 187
802 168 826 188
827 166 857 188
862 167 890 188
891 166 920 186
918 165 947 188
950 168 982 192
984 170 1006 191
1011 169 1036 187
696 185 720 203
730 184 749 205
752 183 784 206
789 186 810 205
815 186 839 204
842 186 874 205
878 186 901 206
910 185 930 204
935 188 956 209
965 185 990 208
993 187 1025 205
620 239 642 263
652 239 672 260
681 238 703 264
706 237 736 263
735 240 767 262
771 237 795 261
798 242 828 265
834 239 856 262
862 239 886 263
889 242 917 261
919 242 943 260
946 237 974 263
977 236 1008 259
1010 237 1034 261
367 277 398 299
450 258 472 281
129 327 155 350
120 338 142 361
85 325 103 350
58 324 82 348
17 326 35 353
7 345 25 365
47 387 68 412
34 403 60 423
63 404 81 426
84 401 109 427
164 388 189 408
156 404 179 421
180 406 204 425
204 404 226 427
226 400 252 426
496 380 523 404
476 334 495 355
485 314 507 341
497 337 520 353
366 321 387 347
343 323 367 343
47 208 68 227
36 223 56 243
59 224 82 244
26 211 42 227
106 220 132 244
135 220 151 241
141 208 162 225
150 223 178 244
162 209 184 228
183 221 197 236
189 212 206 226
209 203 421 240
755 305 776 324
778 307 799 326
769 324 788 339
789 326 812 340
815 325 838 337
846 322 858 340
866 324 889 338
893 325 912 342
919 324 934 339
943 326 966 341
807 304 822 325
829 303 844 328
853 307 870 324
881 311 900 324
905 308 928 321
933 312 949 327
959 310 976 326
981 308 1039 341
969 325 986 339
694 359 715 382
717 360 737 386
742 366 763 391
772 369 790 386
793 371 815 387
823 374 838 387
845 374 866 393
868 374 891 394
892 375 916 397
915 374 941 396
941 375 965 394
1011 378 1034 399
1033 377 1062 402
